"portal","suchbegriff","titel","auftraggeber","veroeffentlichungsdatum","frist","beschreibung","link"
"Burgenland","Raumplanung","L 203, Zurndorfer Straße, OD Zurndorf; km 0,000 - 0,887","Land Burgenland","","21 Apr. 2026 10:00","L 203, Zurndorfer Straße, OD Zurndorf; km 0,000 - 0,887 Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: Land Burgenland","https://burgenland.vergabeportal.at/List/Detail/241037-00"
"Burgenland","Raumplanung","137 Aktivpark Güssing - Innentüren und Holztrennwände","LIB - Landesimmobilien Burgenland GmbH","","20 Apr. 2026 08:00","137 Aktivpark Güssing - Innentüren und Holztrennwände Art der Bekanntmachung: Direktvergabe mit vorheriger Bekanntmachung Auftraggeber: LIB - Landesimmobilien Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/240971-00"
"Burgenland","Raumplanung","137 Aktivpark Güssing - Bodenlegerarbeiten","LIB - Landesimmobilien Burgenland GmbH","","20 Apr. 2026 08:00","137 Aktivpark Güssing - Bodenlegerarbeiten Art der Bekanntmachung: Direktvergabe mit vorheriger Bekanntmachung Auftraggeber: LIB - Landesimmobilien Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/240976-00"
"Burgenland","Raumplanung","WVA WVMB BA61 - Sanierung und (Neu-)Errichtung von Wasserleitungen","Wasserverband Mittleres Burgenland","","24 Apr. 2026 10:00","WVA WVMB BA61 - Sanierung und (Neu-)Errichtung von Wasserleitungen Art der Bekanntmachung: Auftragsbekanntmachung Auftraggeber: Wasserverband Mittleres Burgenland","https://burgenland.vergabeportal.at/List/Detail/238312-00"
"Burgenland","Raumplanung","Kinderspielplatz - Zu-, Umbau- und Sanierungsarbeiten bei dem bestehenden Hallenbad i. d. KG Neusiedl am See","PEB – Projektentwicklung Burgenland GmbH","","24 Apr. 2026 09:00","Kinderspielplatz - Zu-, Umbau- und Sanierungsarbeiten bei dem bestehenden Hallenbad i. d. KG Neusiedl am See Art der Bekanntmachung: Direktvergabe mit vorheriger Bekanntmachung Auftraggeber: PEB – Projektentwicklung Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/240858-00"
"Burgenland","Raumplanung","Projekt PV Rail Power Boxen für Ventus Fahrzeuge","Raab-Oedenburg-Ebenfurter-Eisenbahn AG","","","Projekt PV Rail Power Boxen für Ventus Fahrzeuge Art der Bekanntmachung: Bekanntgabe vergebener Aufträge (USB) Auftraggeber: Raab-Oedenburg-Ebenfurter-Eisenbahn AG","https://burgenland.vergabeportal.at/List/Detail/239894-00"
"Burgenland","Raumplanung","Projekt IT Druckeranschaffung inkl. Mietvertrag","Raab-Oedenburg-Ebenfurter-Eisenbahn AG","","","Projekt IT Druckeranschaffung inkl. Mietvertrag Art der Bekanntmachung: Bekanntgabe vergebener Aufträge (USB) Auftraggeber: Raab-Oedenburg-Ebenfurter-Eisenbahn AG","https://burgenland.vergabeportal.at/List/Detail/239912-00"
"Burgenland","Raumplanung","PV W-Lan inkl. Setup und Betriebsführung","Raab-Oedenburg-Ebenfurter-Eisenbahn AG","","","PV W-Lan inkl. Setup und Betriebsführung Art der Bekanntmachung: Bekanntgabe vergebener Aufträge (USB) Auftraggeber: Raab-Oedenburg-Ebenfurter-Eisenbahn AG","https://burgenland.vergabeportal.at/List/Detail/239924-00"
"Burgenland","Raumplanung","Holmium-Laser","Burgenländische Krankenanstalten-Gesellschaft m.b.H.","","","Holmium-Laser Art der Bekanntmachung: Bekanntgabe vergebener Aufträge (USB) Auftraggeber: Burgenländische Krankenanstalten-Gesellschaft m.b.H.","https://burgenland.vergabeportal.at/List/Detail/239975-00"
"Burgenland","Raumplanung","VIB-Verkehrsinfrastruktur 2025","Verkehrsinfrastruktur Burgenland GmbH","","27 Apr. 2026 10:00","VIB-Verkehrsinfrastruktur 2025 Art der Bekanntmachung: Auftragsbekanntmachung – Sektoren Auftraggeber: Verkehrsinfrastruktur Burgenland GmbH","https://burgenland.vergabeportal.at/List/Detail/229386-00"
